bad,loan,mortdue,value,reason,job,yoj,derog,delinq,clage,ninq,clno,debtinc
0.0,5100.0,93000.0,116875.0,0.2271931469108769,0.23181117738730445,10.0,0.0,2.0,417.63,2.0,50.0,38.32
0.0,37600.0,33388.0,71282.0,0.1879128813152543,0.17550961812424787,4.0,0.0,0.0,202.11,2.0,18.0,25.2
0.0,26700.0,23361.0,55483.0,0.1879128813152543,0.23181117738730445,36.0,0.0,0.0,280.81,1.0,23.0,39.89
0.0,25000.0,145000.0,185000.0,0.2271931469108769,0.27017174466631116,2.0,0.0,0.0,176.5,1.0,17.0,41.81
0.0,21600.0,66711.0,105267.0,0.2271931469108769,0.12400911923012278,13.0,0.0,0.0,145.94,0.0,14.0,37.12
0.0,9700.0,53527.0,58605.0,0.1879128813152543,0.12400911923012278,4.0,0.0,0.0,75.58,3.0,12.0,36.71
0.0,20800.0,56364.0,115760.0,0.1879128813152543,0.17550961812424787,16.0,0.0,0.0,261.81,0.0,19.0,24.8
0.0,21300.0,98507.0,125539.0,0.2271931469108769,0.23788721791605466,0.0,0.0,1.0,311.33,0.0,19.0,42.23
0.0,21600.0,93937.0,147792.0,0.1879128813152543,0.17550961812424787,23.0,0.0,0.0,156.67,0.0,25.0,40.19
1.0,15000.0,98000.0,132790.0,0.1879128813152543,0.23181117738730445,1.5,0.0,3.0,107.67,1.0,21.0,75.53
0.0,25000.0,177000.0,226000.0,0.1879128813152543,0.17550961812424787,0.4,0.0,0.0,305.13,1.0,33.0,41.7
0.0,12100.0,46152.0,72773.0,0.1879128813152543,0.23181117738730445,0.0,0.0,0.0,270.49,0.0,20.0,29.5
0.0,33600.0,79877.0,118554.0,0.1879128813152543,0.23788721791605466,9.0,0.0,0.0,78.33,1.0,35.0,25.01
0.0,59200.0,43877.0,74768.0,0.1879128813152543,0.23181117738730445,5.0,0.0,0.0,102.55,0.0,21.0,31.3
1.0,10000.0,27000.0,54300.0,0.2271931469108769,0.23181117738730445,0.3,0.0,1.0,91.13,0.0,6.0,27.18
0.0,32900.0,9200.0,66056.0,0.1879128813152543,0.23181117738730445,0.0,0.0,0.0,107.67,1.0,6.0,37.19
0.0,23800.0,45279.0,68939.0,0.1879128813152543,0.23181117738730445,6.0,0.0,0.0,77.23,1.0,19.0,35.52
0.0,7800.0,55000.0,62800.0,0.2271931469108769,0.23181117738730445,6.0,0.0,0.0,123.03,0.0,34.0,19.16
0.0,22800.0,39166.0,84407.0,0.1879128813152543,0.17550961812424787,11.0,0.0,0.0,276.12,0.0,19.0,38.97
0.0,28600.0,94165.0,130285.0,0.1879128813152543,0.12400911923012278,10.0,0.0,1.0,137.81,0.0,28.0,42.08
1.0,13500.0,73000.0,97000.0,0.1879128813152543,0.23181117738730445,12.0,1.0,0.0,145.2,0.0,23.0,32.0
0.0,13600.0,39997.0,56571.0,0.1879128813152543,0.23181117738730445,6.0,0.0,0.0,111.01,2.0,15.0,38.77
0.0,27600.0,131887.0,174323.0,0.1879128813152543,0.23788721791605466,0.0,0.0,0.0,243.05,2.0,24.0,35.27
0.0,14700.0,49264.0,68591.0,0.1879128813152543,0.23181117738730445,9.0,0.0,0.0,237.84,0.0,18.0,31.26
0.0,18500.0,23618.0,37539.0,0.18525054533612537,0.12400911923012278,1.0,0.0,0.0,199.72,0.0,15.0,36.98
0.0,59500.0,47485.0,69981.0,0.1879128813152543,0.23181117738730445,4.0,0.0,0.0,100.14,0.0,20.0,29.47
1.0,6300.0,12476.0,32559.0,0.2271931469108769,0.12400911923012278,12.0,3.0,6.0,227.13,0.0,23.0,23.32
1.0,23000.0,32000.0,55000.0,0.1879128813152543,0.23181117738730445,0.4,0.0,0.0,211.03,0.0,23.0,34.71
0.0,20300.0,82996.0,118224.0,0.1879128813152543,0.23181117738730445,11.0,0.0,0.0,287.61,1.0,16.0,34.19
0.0,25000.0,22235.7,45764.0,0.1879128813152543,0.23181117738730445,24.38,0.0,0.0,107.14,0.0,12.0,27.78
0.0,41100.0,94600.0,151000.0,0.1879128813152543,0.23181117738730445,15.0,0.0,1.0,220.13,4.0,31.0,41.9
0.0,6200.0,45564.0,61956.0,0.2271931469108769,0.23181117738730445,2.0,0.0,1.0,101.17,3.0,13.0,38.67
0.0,15200.0,35348.55,67103.0,0.18525054533612537,0.07933623280140166,1.0,0.0,0.0,191.75,0.0,0.0,3.69
0.0,21900.0,77581.66,80239.0,0.1879128813152543,0.33547707890257206,5.0,0.0,0.0,402.09,0.0,23.0,21.99
0.0,12900.0,61031.0,71550.0,0.2271931469108769,0.23181117738730445,28.0,0.0,2.0,178.09,0.0,23.0,34.8
1.0,17900.0,70046.0,135917.0,0.1879128813152543,0.27017174466631116,1.0,1.0,2.0,138.01,0.0,16.0,38.29
0.0,26600.0,128238.0,165316.0,0.1879128813152543,0.23788721791605466,1.0,0.0,0.0,236.07,2.0,23.0,36.94
